id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
1.0,SIS,hydro,Reservoir,PP,BO,91.11,,1973.0,1973.0,2073.0,-17.191557,-65.823456,,0.0,0.0,153.73,SIS-010_SIS,Santa Isabel SIS-010 SIS
2.0,COR,hydro,Reservoir,PP,BO,65.25,,1967.0,1967.0,2067.0,-17.2124218,-65.8765639,,0.0,0.0,193002.74,COR-010_COR,Corani COR-010 COR
3.0,SJS,hydro,Run-Of-River,PP,BO,55.0,,2018.0,2018.0,2118.0,-17.1674464,-65.7881271,,0.0,0.0,91.69,SJS-230_SJS,San Jose 1 SJS-230 SJS
4.0,SJE,hydro,Run-Of-River,PP,BO,69.0,,2019.0,2019.0,2119.0,-17.1013447,-65.7867551,,0.0,0.0,28.9,SJE-230_SJE,San Jose 2 SJE-230 SJE
5.0,ZON,hydro,Reservoir,PP,BO,11.04,,1996.0,1996.0,2096.0,-16.0997852,-68.0522296,,0.0,0.0,3121.0,ZON-006_ZON,Zongo ZON-006 ZON
6.0,TIQ,hydro,Reservoir,PP,BO,9.72,,1996.0,1996.0,2096.0,-16.2016284,-68.1389095,,0.0,0.0,7716.32,TIG-006_TIQ,Tiquimani TIG-006 TIQ
7.0,BOT,hydro,Run-Of-River,PP,BO,6.81,,1937.0,1937.0,2037.0,-16.1922082,-68.1405975,,0.0,0.0,13.16,BOT-006_BOT,Botijlaca BOT-006 BOT
8.0,CUT,hydro,Run-Of-River,PP,BO,22.97,,1941.0,1941.0,2041.0,-16.1829477,-68.1399833,,0.0,0.0,40.32,CUT-006_CUT,Cuticucho CUT-006 CUT
9.0,SRO01,hydro,Reservoir,PP,BO,6.9,,2005.0,2005.0,2105.0,-16.13164,-68.10882,,0.0,0.0,1.02,SRO-006_SRO01,Santa Rosa BC SRO-006 SRO01
10.0,SRO02*,hydro,Run-Of-River,PP,BO,10.69,,2005.0,2005.0,2105.0,-16.13165,-68.10883,,0.0,0.0,792.31,SRO-006_SRO02,Santa Rosa AC SRO-006 SRO02 *
11.0,SAI,hydro,Run-Of-River,PP,BO,10.5,,1956.0,1956.0,2056.0,-16.124116,-68.0909298,,0.0,0.0,2.85,SAI-006_SAI,Sainani SAI-006 SAI
12.0,CHU*,hydro,Run-Of-River,PP,BO,25.39,,1966.0,1966.0,2066.0,-16.1071476,-68.0710414,,0.0,0.0,13.24,CHU-006_CHU,Chururaqui CHU-006 CHU *
13.0,HAR,hydro,Run-Of-River,PP,BO,25.85,,1967.0,1967.0,2067.0,-16.0892998,-68.0444084,,0.0,0.0,4.76,HAR-006_HAR,Harca HAR-006 HAR
