,line_id,tag_type,country,length,voltage,circuits,tag_frequency,bus0,bus1,underground,under_construction,dc,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
0,-753810532_0,line,BO,193262.23130039644,500000,3.0,50.0,32,5,False,False,False,"LINESTRING (-64.5253 -17.2109, -64.526253 -17.211946, -66.220564 -17.573273, -66.2194 -17.5723)","MULTIPOINT ((-64.5253 -17.2109), (-66.2194 -17.5723))",POINT (-64.5253 -17.2109),POINT (-66.2194 -17.5723),-64.5253,-17.2109,-66.2194,-17.5723
1,1689922187_0,line,BO,28626.154702561045,230000,3.0,50.0,33,78,False,False,False,"LINESTRING (-63.2824 -17.5752, -63.282402 -17.575242, -63.152658 -17.786777, -63.1527 -17.7868)","MULTIPOINT ((-63.2824 -17.5752), (-63.1527 -17.7868))",POINT (-63.2824 -17.5752),POINT (-63.1527 -17.7868),-63.2824,-17.5752,-63.1527,-17.7868
2,2035876983_0,line,BO,93231.8351441821,230000,3.0,50.0,33,47,False,False,False,"LINESTRING (-63.2824 -17.5752, -63.282402 -17.575242, -62.64138 -17.060676, -62.6414 -17.0607)","MULTIPOINT ((-63.2824 -17.5752), (-62.6414 -17.0607))",POINT (-63.2824 -17.5752),POINT (-62.6414 -17.0607),-63.2824,-17.5752,-62.6414,-17.0607
3,1117936324_0,line,BO,93231.8351441821,230000,3.0,50.0,33,47,False,False,False,"LINESTRING (-63.2824 -17.5752, -63.282402 -17.575242, -62.64138 -17.060676, -62.6414 -17.0607)","MULTIPOINT ((-63.2824 -17.5752), (-62.6414 -17.0607))",POINT (-63.2824 -17.5752),POINT (-62.6414 -17.0607),-63.2824,-17.5752,-62.6414,-17.0607
4,1635802992_0,line,BO,38167.415909677235,230000,6.0,50.0,34,79,False,False,False,"LINESTRING (-63.2179 -18.0652, -63.217863 -18.065164, -63.145217 -18.383435, -63.1452 -18.3834)","MULTIPOINT ((-63.2179 -18.0652), (-63.1452 -18.3834))",POINT (-63.2179 -18.0652),POINT (-63.1452 -18.3834),-63.2179,-18.0652,-63.1452,-18.3834
5,1608386132_0,line,BO,73626.21189615826,230000,3.0,50.0,31,35,False,False,False,"LINESTRING (-64.5263 -17.2119, -64.526253 -17.211946, -63.893004 -17.394199, -63.893 -17.3942)","MULTIPOINT ((-64.5263 -17.2119), (-63.893 -17.3942))",POINT (-64.5263 -17.2119),POINT (-63.893 -17.3942),-64.5263,-17.2119,-63.893,-17.3942
6,-12578261_0,line,BO,71180.41723277779,230000,3.0,50.0,35,33,False,False,False,"LINESTRING (-63.893 -17.3942, -63.893004 -17.394199, -63.282402 -17.575242, -63.2824 -17.5752)","MULTIPOINT ((-63.893 -17.3942), (-63.2824 -17.5752))",POINT (-63.893 -17.3942),POINT (-63.2824 -17.5752),-63.893,-17.3942,-63.2824,-17.5752
7,-382422293_0,line,BO,74906.0110559172,230000,3.0,50.0,31,36,False,False,False,"LINESTRING (-64.5263 -17.2119, -64.526253 -17.211946, -65.161215 -16.999072, -65.1612 -16.9991)","MULTIPOINT ((-64.5263 -17.2119), (-65.1612 -16.9991))",POINT (-64.5263 -17.2119),POINT (-65.1612 -16.9991),-64.5263,-17.2119,-65.1612,-16.9991
8,-1578860216_0,line,BO,193262.23130039644,230000,3.0,50.0,31,4,False,False,False,"LINESTRING (-64.5263 -17.2119, -64.526253 -17.211946, -66.220564 -17.573273, -66.2204 -17.5733)","MULTIPOINT ((-64.5263 -17.2119), (-66.2204 -17.5733))",POINT (-64.5263 -17.2119),POINT (-66.2204 -17.5733),-64.5263,-17.2119,-66.2204,-17.5733
9,-1452859278_0,line,BO,31354.986337187565,230000,3.0,50.0,36,43,False,False,False,"LINESTRING (-65.1612 -16.9991, -65.161215 -16.999072, -65.442655 -17.009875, -65.4427 -17.0098)","MULTIPOINT ((-65.1612 -16.9991), (-65.4427 -17.0098))",POINT (-65.1612 -16.9991),POINT (-65.4427 -17.0098),-65.1612,-16.9991,-65.4427,-17.0098
