,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
114,transf_0_0,0,1,115000,230000,BO,"LINESTRING (-68.1695 -16.6916, -68.1685 -16.6906)","MULTIPOINT ((-68.1695 -16.6916), (-68.1685 -16.6906))",POINT (-68.1695 -16.6916),POINT (-68.1685 -16.6906),-68.1695,-16.6916,-68.1685,-16.6906
115,transf_1_0,2,3,115000,230000,BO,"LINESTRING (-65.7506 -17.1781, -65.7496 -17.1771)","MULTIPOINT ((-65.7506 -17.1781), (-65.7496 -17.1771))",POINT (-65.7506 -17.1781),POINT (-65.7496 -17.1771),-65.7506,-17.1781,-65.7496,-17.1771
116,transf_2_0,4,5,230000,500000,BO,"LINESTRING (-66.2204 -17.5733, -66.2194 -17.5723)","MULTIPOINT ((-66.2204 -17.5733), (-66.2194 -17.5723))",POINT (-66.2204 -17.5733),POINT (-66.2194 -17.5723),-66.2204,-17.5733,-66.2194,-17.5723
117,transf_3_0,6,7,115000,230000,BO,"LINESTRING (-67.1092 -17.8116, -67.1082 -17.8106)","MULTIPOINT ((-67.1092 -17.8116), (-67.1082 -17.8106))",POINT (-67.1092 -17.8116),POINT (-67.1082 -17.8106),-67.1092,-17.8116,-67.1082,-17.8106
118,transf_4_0,8,9,69000,230000,BO,"LINESTRING (-65.7555 -21.4269, -65.7545 -21.4259)","MULTIPOINT ((-65.7555 -21.4269), (-65.7545 -21.4259))",POINT (-65.7555 -21.4269),POINT (-65.7545 -21.4259),-65.7555,-21.4269,-65.7545,-21.4259
119,transf_5_0,10,11,115000,230000,BO,"LINESTRING (-66.1168 -17.4282, -66.1158 -17.4272)","MULTIPOINT ((-66.1168 -17.4282), (-66.1158 -17.4272))",POINT (-66.1168 -17.4282),POINT (-66.1158 -17.4272),-66.1168,-17.4282,-66.1158,-17.4272
120,transf_6_0,12,13,115000,230000,BO,"LINESTRING (-66.141 -20.0513, -66.14 -20.0503)","MULTIPOINT ((-66.141 -20.0513), (-66.14 -20.0503))",POINT (-66.141 -20.0513),POINT (-66.14 -20.0503),-66.141,-20.0513,-66.14,-20.0503
121,transf_7_0,14,15,69000,115000,BO,"LINESTRING (-65.2187 -19.0013, -65.2177 -19.0003)","MULTIPOINT ((-65.2187 -19.0013), (-65.2177 -19.0003))",POINT (-65.2187 -19.0013),POINT (-65.2177 -19.0003),-65.2187,-19.0013,-65.2177,-19.0003
122,transf_7_1,15,16,115000,230000,BO,"LINESTRING (-65.2177 -19.0003, -65.2167 -18.9993)","MULTIPOINT ((-65.2177 -19.0003), (-65.2167 -18.9993))",POINT (-65.2177 -19.0003),POINT (-65.2167 -18.9993),-65.2177,-19.0003,-65.2167,-18.9993
123,transf_8_0,17,18,69000,115000,BO,"LINESTRING (-65.8008 -19.6076, -65.7998 -19.6066)","MULTIPOINT ((-65.8008 -19.6076), (-65.7998 -19.6066))",POINT (-65.8008 -19.6076),POINT (-65.7998 -19.6066),-65.8008,-19.6076,-65.7998,-19.6066
124,transf_9_0,19,20,115000,230000,BO,"LINESTRING (-64.7961 -14.8363, -64.7951 -14.8353)","MULTIPOINT ((-64.7961 -14.8363), (-64.7951 -14.8353))",POINT (-64.7961 -14.8363),POINT (-64.7951 -14.8353),-64.7961,-14.8363,-64.7951,-14.8353
125,transf_10_0,21,22,69000,115000,BO,"LINESTRING (-65.6858 -19.5203, -65.6848 -19.5193)","MULTIPOINT ((-65.6858 -19.5203), (-65.6848 -19.5193))",POINT (-65.6858 -19.5203),POINT (-65.6848 -19.5193),-65.6858,-19.5203,-65.6848,-19.5193
126,transf_11_0,23,24,115000,230000,BO,"LINESTRING (-67.156 -21.1337, -67.155 -21.1327)","MULTIPOINT ((-67.156 -21.1337), (-67.155 -21.1327))",POINT (-67.156 -21.1337),POINT (-67.155 -21.1327),-67.156,-21.1337,-67.155,-21.1327
127,transf_12_0,25,26,115000,230000,BO,"LINESTRING (-67.0447 -17.9696, -67.0437 -17.9686)","MULTIPOINT ((-67.0447 -17.9696), (-67.0437 -17.9686))",POINT (-67.0447 -17.9696),POINT (-67.0437 -17.9686),-67.0447,-17.9696,-67.0437,-17.9686
128,transf_13_0,27,28,69000,115000,BO,"LINESTRING (-66.2309 -20.5556, -66.2299 -20.5546)","MULTIPOINT ((-66.2309 -20.5556), (-66.2299 -20.5546))",POINT (-66.2309 -20.5556),POINT (-66.2299 -20.5546),-66.2309,-20.5556,-66.2299,-20.5546
129,transf_14_0,29,30,115000,230000,BO,"LINESTRING (-68.1182 -16.4005, -68.1172 -16.3995)","MULTIPOINT ((-68.1182 -16.4005), (-68.1172 -16.3995))",POINT (-68.1182 -16.4005),POINT (-68.1172 -16.3995),-68.1182,-16.4005,-68.1172,-16.3995
130,transf_15_0,31,32,230000,500000,BO,"LINESTRING (-64.5263 -17.2119, -64.5253 -17.2109)","MULTIPOINT ((-64.5263 -17.2119), (-64.5253 -17.2109))",POINT (-64.5263 -17.2119),POINT (-64.5253 -17.2109),-64.5263,-17.2119,-64.5253,-17.2109
131,transf_28_0,45,46,115000,230000,BO,"LINESTRING (-64.728 -21.4868, -64.727 -21.4858)","MULTIPOINT ((-64.728 -21.4868), (-64.727 -21.4858))",POINT (-64.728 -21.4868),POINT (-64.727 -21.4858),-64.728,-21.4868,-64.727,-21.4858
