,id,tags.power,Type,Country,Area,name,tags.generator:type,tags.generator:method,tags.generator:source,power_output_MW,geometry
3,2503270686,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,1.0,POINT (-65.28459939999992 -17.628878400000083)
4,2607448836,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,1.0,POINT (-65.28350030000003 -17.6297865)
10,5112046113,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-65.27862020000006 -17.63537320000005)
11,5112046114,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-65.28036140000006 -17.63567570000005)
12,5112046115,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-65.27933350000006 -17.631718)
13,5112046116,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-65.27684450000007 -17.63374630000005)
14,5112046117,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-65.27463410000007 -17.63346540000005)
15,5112046118,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-65.27492750000008 -17.62977530000005)
16,5123436490,generator,Node,BO,NULL,VHE-08,combined_cycle,combustion,gas,10.0,POINT (-66.1166864000004 -17.43057910000009)
17,5123436491,generator,Node,BO,NULL,VHE-07,combined_cycle,combustion,gas,10.0,POINT (-66.11677180000041 -17.430613300000093)
18,5123436492,generator,Node,BO,NULL,VHE-06,combined_cycle,combustion,gas,10.0,POINT (-66.1168571000004 -17.430656700000092)
19,5123436493,generator,Node,BO,NULL,VHE-05,combined_cycle,combustion,gas,10.0,POINT (-66.1169466000004 -17.43069160000009)
20,5123436494,generator,Node,BO,NULL,VHE-01,combined_cycle,combustion,gas,18.0,POINT (-66.11705210000041 -17.43046450000009)
21,5123436495,generator,Node,BO,NULL,VHE-02,combined_cycle,combustion,gas,18.0,POINT (-66.11713540000041 -17.430301600000092)
22,5123436496,generator,Node,BO,NULL,VHE-03,combined_cycle,combustion,gas,18.0,POINT (-66.11721260000041 -17.430140600000094)
23,5123436497,generator,Node,BO,NULL,VHE-04,combined_cycle,combustion,gas,18.0,POINT (-66.11728380000041 -17.429964100000095)
25,6659224640,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-65.27234359999981 -17.630853799999958)
26,6659224641,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-65.27084599999982 -17.631606)
27,6734018736,generator,Node,BO,NULL,NULL,combined_cycle,combustion,gas,60.0,POINT (-63.559057900000056 -21.6948719)
28,6734018737,generator,Node,BO,NULL,NULL,combined_cycle,combustion,gas,60.0,POINT (-63.55935180000006 -21.6948253)
29,6734018738,generator,Node,BO,NULL,NULL,combined_cycle,combustion,gas,60.0,POINT (-63.559929 -21.6947337)
30,6734018741,generator,Node,BO,NULL,NULL,combined_cycle,combustion,gas,60.0,POINT (-63.56022680000006 -21.6946865)
31,6734018749,generator,Node,BO,NULL,NULL,combined_cycle,combustion,gas,60.0,POINT (-63.56165380000006 -21.6944601)
32,6734018750,generator,Node,BO,NULL,NULL,combined_cycle,combustion,gas,60.0,POINT (-63.56194620000006 -21.6944137)
33,6734018751,generator,Node,BO,NULL,NULL,combined_cycle,combustion,gas,60.0,POINT (-63.562342400000055 -21.6943509)
34,6734018752,generator,Node,BO,NULL,NULL,combined_cycle,combustion,gas,60.0,POINT (-63.562631700000054 -21.694305)
35,6758215228,generator,Node,BO,NULL,NULL,gas_turbine,thermal,gas,17.0,POINT (-68.1833498000002 -16.565066500000043)
36,6758215229,generator,Node,BO,NULL,NULL,gas_turbine,thermal,gas,32.0,POINT (-68.1832242000002 -16.56512260000004)
51,9130444054,generator,Node,BO,NULL,Planta Solar Fotovoltáica Yunchará,solar_photovoltaic_panel,photovoltaic,solar,5.0,POINT (-65.10043670000006 -21.83709649999994)
52,9130609908,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.1425557 -18.382616)
53,9130609909,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.1396239 -18.381673)
54,9130609910,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.1366751 -18.38072449999992)
55,9130609911,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.13374 -18.37978049999992)
56,9130609912,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.1307708 -18.37882549999992)
57,9130609913,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.1274909 -18.37777059999992)
58,9130609914,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.1243497 -18.37676019999992)
59,9130609915,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.121462 -18.37583139999992)
60,9130609916,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.1185032 -18.37487969999992)
61,9130610217,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.1140407 -18.37344439999992)
62,9130610218,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.10685359999999 -18.371132599999918)
63,9130610219,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.103820099999986 -18.370168)
64,9130610222,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.1118737 -18.372719599999918)
65,9130610223,generator,Node,BO,NULL,NULL,wind_turbine,wind_turbine,wind,3.0,POINT (-63.10033639999999 -18.369016299999917)
67,10790168714,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-62.84978189999991 -17.819955499999935)
68,10790168715,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-62.84787589999991 -17.817998699999936)
69,10790168716,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-62.84535059999991 -17.816767299999935)
70,10790168717,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-62.84267639999991 -17.815912)
71,10790168718,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-62.83999449999991 -17.815072499999932)
72,10790168719,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-62.83730279999991 -17.81422749999993)
73,10790168720,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-62.83461179999991 -17.81338359999993)
74,10790168721,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-62.83194449999991 -17.81254309999993)
75,10790168722,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-62.82980409999991 -17.810778399999933)
76,10790168723,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-62.82780489999991 -17.80887089999993)
77,10790168724,generator,Node,BO,NULL,NULL,horizontal_axis,wind_turbine,wind,3.0,POINT (-62.82579529999991 -17.80696839999993)
110,208259012,generator,Way,BO,1420.0,NULL,NULL,water-storage,hydro,54.0,POINT (-65.8757059552694 -17.212191615575936)
